Site ID,Class,Subclass,Status,Name,Make,Model,Cabinet,U Position,Slot Position,IP Address,Serial Number,Type,Function,Contact,Contact Team,Customer,Mounting,Form Factor,Created By,Request Number,Request Stage,Created On,Origin,Notes,PowerIQ Object ID,Integration Status,VM Manager,VM Manager Integration Status,VMware Status Update Date,Customer Service,Technical Support,Account Number,Node Code,Planning Expiration
CM Shanghai,Network,NetworkStack,Planned,G0000083,Arista Networks,DCS-7280CR2A-30-F,XA.SHA.02.01.M215.01.001,29,,,JPE19092061,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:07-05,Import,,1792,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000084,Arista Networks,DCS-7280SR-48C6-F,XA.SHA.02.01.M215.01.001,27,,,JPE19082276,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:08-05,Import,,1855,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000085,Arista Networks,DCS-7010T-48-F,XA.SHA.02.01.M215.01.001,25,,,JPE18462582,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:09-05,Import,,1847,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000086,Opengear,IM7248-2-DAC_IW,XA.SHA.02.01.M215.01.001,23,,,7.25E+13,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:57:54-05,Import,,1791,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000087,Arista Networks,DCS-7280SR-48C6-F,XA.SHA.02.01.M215.01.001,21,,,JPE19082301,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:11-05,Import,,1854,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000088,Arista Networks,DCS-7010T-48-F,XA.SHA.02.01.M215.01.001,19,,,JPE18460875,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:11-05,Import,,1849,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000089,Fortinet,FortiGate 100EF,XA.SHA.02.01.M215.01.001,13,,,FG1HEFTK18001341,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:12-05,Import,,1857,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000090,Opengear,IM7248-2-DAC_IW,XA.SHA.02.01.M215.01.001,10,,,7.25E+13,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:57:55-05,Import,,1830,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000092,NOKIA,7750 SR-1s,XA.SHA.02.01.M215.01.001,4,,,NS1929F0079,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:14-05,Import,,1790,,,,,,,,M215,
CM Shanghai,Network,NetworkStack,Planned,G0000093,Arista Networks,DCS-7010T-48-F,XA.SHA.02.01.M215.01.002,36,,,JPE18462383,,,,,,Rackable,Fixed,admin,,,12/03/2019 17:32:15-05,Import,,1851,,,,,,,,M215,
