"Key","Series","Value"
"2020-08-01","XA.CTU.03.03.C303.01.001",2634.257
"2020-08-02","XA.CTU.03.03.C303.01.001",2632.4862
"2020-08-03","XA.CTU.03.03.C303.01.001",2631.0903
"2020-08-04","XA.CTU.03.03.C303.01.001",2636.1285
"2020-08-05","XA.CTU.03.03.C303.01.001",2632.868
"2020-08-06","XA.CTU.03.03.C303.01.001",2631.3958
"2020-08-07","XA.CTU.03.03.C303.01.001",2634.1667
"2020-08-08","XA.CTU.03.03.C303.01.001",2634.2083
"2020-08-09","XA.CTU.03.03.C303.01.001",2633.6458
"2020-08-10","XA.CTU.03.03.C303.01.001",2633.2639
"2020-08-11","XA.CTU.03.03.C303.01.001",2635.9792
"2020-08-12","XA.CTU.03.03.C303.01.001",2637.8576
"2020-08-13","XA.CTU.03.03.C303.01.001",2637.6876
"2020-08-14","XA.CTU.03.03.C303.01.001",2638.118
"2020-08-15","XA.CTU.03.03.C303.01.001",2638.9584
"2020-08-16","XA.CTU.03.03.C303.01.001",2637.7639
"2020-08-17","XA.CTU.03.03.C303.01.001",2635.9445
"2020-08-18","XA.CTU.03.03.C303.01.001",2634.7987
"2020-08-19","XA.CTU.03.03.C303.01.001",2633.1736
"2020-08-20","XA.CTU.03.03.C303.01.001",2631.8333
"2020-08-21","XA.CTU.03.03.C303.01.001",2634.6389
"2020-08-22","XA.CTU.03.03.C303.01.001",2635.6458
"2020-08-23","XA.CTU.03.03.C303.01.001",2637.4166
"2020-08-24","XA.CTU.03.03.C303.01.001",2639.632
"2020-08-25","XA.CTU.03.03.C303.01.001",2640.7569
"2020-08-26","XA.CTU.03.03.C303.01.001",2638.3264
"2020-08-27","XA.CTU.03.03.C303.01.001",2635.4167
"2020-08-28","XA.CTU.03.03.C303.01.001",2630.3889
"2020-08-29","XA.CTU.03.03.C303.01.001",2633.8681
"2020-08-30","XA.CTU.03.03.C303.01.001",2635.8612
"2020-08-31","XA.CTU.03.03.C303.01.001",2633.9445
"2020-09-01","XA.CTU.03.03.C303.01.001",2633.1875
"2020-09-02","XA.CTU.03.03.C303.01.001",2643.6181
"2020-09-03","XA.CTU.03.03.C303.01.001",2646.6181
"2020-09-04","XA.CTU.03.03.C303.01.001",2646.7986
"2020-09-05","XA.CTU.03.03.C303.01.001",2646.4514
"2020-09-06","XA.CTU.03.03.C303.01.001",2646.4653
"2020-09-07","XA.CTU.03.03.C303.01.001",2647.1597
"2020-09-08","XA.CTU.03.03.C303.01.001",2644.1875
"2020-09-09","XA.CTU.03.03.C303.01.001",2649.2639
"2020-09-10","XA.CTU.03.03.C303.01.001",2645.9583
"2020-09-11","XA.CTU.03.03.C303.01.001",2644.7986
"2020-09-12","XA.CTU.03.03.C303.01.001",2643.5069
"2020-09-13","XA.CTU.03.03.C303.01.001",2644.6945
"2020-09-14","XA.CTU.03.03.C303.01.001",2642.882
"2020-09-15","XA.CTU.03.03.C303.01.001",2643.0555
"2020-09-16","XA.CTU.03.03.C303.01.001",2642.6388
"2020-09-17","XA.CTU.03.03.C303.01.001",2644.5486
"2020-09-18","XA.CTU.03.03.C303.01.001",2645.2292
"2020-09-19","XA.CTU.03.03.C303.01.001",2643.3264
"2020-09-20","XA.CTU.03.03.C303.01.001",2644.0069
"2020-09-21","XA.CTU.03.03.C303.01.001",2643.2986
"2020-09-22","XA.CTU.03.03.C303.01.001",2641.9792
"2020-09-23","XA.CTU.03.03.C303.01.001",2644.9792
"2020-09-24","XA.CTU.03.03.C303.01.001",2643.6597
"2020-09-25","XA.CTU.03.03.C303.01.001",2643.2431
"2020-09-26","XA.CTU.03.03.C303.01.001",2642.6597
"2020-09-27","XA.CTU.03.03.C303.01.001",2643.2152
"2020-09-28","XA.CTU.03.03.C303.01.001",2643.2118
"2020-09-29","XA.CTU.03.03.C303.01.001",2644.1945
"2020-09-30","XA.CTU.03.03.C303.01.001",2644.6736
"2020-10-01","XA.CTU.03.03.C303.01.001",2644.6042
"2020-10-02","XA.CTU.03.03.C303.01.001",2644.2708
"2020-10-03","XA.CTU.03.03.C303.01.001",2644.7083
"2020-10-04","XA.CTU.03.03.C303.01.001",2643.8542
"2020-10-05","XA.CTU.03.03.C303.01.001",2644.3819
"2020-10-06","XA.CTU.03.03.C303.01.001",2644.493
"2020-10-07","XA.CTU.03.03.C303.01.001",0
"2020-10-08","XA.CTU.03.03.C303.01.001",2649.2501
"2020-10-09","XA.CTU.03.03.C303.01.001",2643.7514
"2020-10-10","XA.CTU.03.03.C303.01.001",2652.2569
"2020-10-11","XA.CTU.03.03.C303.01.001",2650.6945
"2020-10-12","XA.CTU.03.03.C303.01.001",2649.7083
"2020-10-13","XA.CTU.03.03.C303.01.001",2651.6806
"2020-10-14","XA.CTU.03.03.C303.01.001",2651.8889
"2020-10-15","XA.CTU.03.03.C303.01.001",2633.0764
"2020-10-16","XA.CTU.03.03.C303.01.001",2634.0208
"2020-10-17","XA.CTU.03.03.C303.01.001",2633.3402
"2020-10-18","XA.CTU.03.03.C303.01.001",2632.8055
"2020-10-19","XA.CTU.03.03.C303.01.001",2640.375
"2020-10-20","XA.CTU.03.03.C303.01.001",2640.4444
"2020-10-21","XA.CTU.03.03.C303.01.001",2635.5834
"2020-10-22","XA.CTU.03.03.C303.01.001",2635.3472
"2020-10-23","XA.CTU.03.03.C303.01.001",2637.1181
"2020-10-24","XA.CTU.03.03.C303.01.001",2633.9583
"2020-10-25","XA.CTU.03.03.C303.01.001",2637.632
"2020-10-26","XA.CTU.03.03.C303.01.001",2636.75
"2020-10-27","XA.CTU.03.03.C303.01.001",2633.3403
"2020-10-28","XA.CTU.03.03.C303.01.001",2633.4861
"2020-10-29","XA.CTU.03.03.C303.01.001",2632.8334
"2020-10-30","XA.CTU.03.03.C303.01.001",2632.7292
"2020-10-31","XA.CTU.03.03.C303.01.001",2632.7083
"2020-11-01","XA.CTU.03.03.C303.01.001",2632.9
"2020-11-02","XA.CTU.03.03.C303.01.001",2632.9375
"2020-11-03","XA.CTU.03.03.C303.01.001",2632.9375
"2020-11-04","XA.CTU.03.03.C303.01.001",2634.2014
"2020-11-05","XA.CTU.03.03.C303.01.001",2634.5834
"2020-11-06","XA.CTU.03.03.C303.01.001",2633.0764
"2020-11-07","XA.CTU.03.03.C303.01.001",2632.4319
"2020-11-08","XA.CTU.03.03.C303.01.001",2657.6708
"2020-11-09","XA.CTU.03.03.C303.01.001",3227.3848
"2020-11-10","XA.CTU.03.03.C303.01.001",3231.0348
"2020-11-11","XA.CTU.03.03.C303.01.001",3229.5972
"2020-11-12","XA.CTU.03.03.C303.01.001",3222.9236
"2020-11-13","XA.CTU.03.03.C303.01.001",3217.8333
"2020-11-14","XA.CTU.03.03.C303.01.001",3215.5694
"2020-11-15","XA.CTU.03.03.C303.01.001",3217.0208
"2020-11-16","XA.CTU.03.03.C303.01.001",3217.868
"2020-11-17","XA.CTU.03.03.C303.01.001",3217.4306
"2020-11-18","XA.CTU.03.03.C303.01.001",3217.5487
"2020-11-19","XA.CTU.03.03.C303.01.001",3220.6111
"2020-11-20","XA.CTU.03.03.C303.01.001",3219.368
"2020-11-21","XA.CTU.03.03.C303.01.001",3221.8334
"2020-11-22","XA.CTU.03.03.C303.01.001",3222.9514
