"Key","Series","Value"
"2020-10-01","XA.CAN.03.03.3008.01.001",2615
"2020-10-02","XA.CAN.03.03.3008.01.001",2624
"2020-10-03","XA.CAN.03.03.3008.01.001",2617
"2020-10-04","XA.CAN.03.03.3008.01.001",2616
"2020-10-05","XA.CAN.03.03.3008.01.001",2620
"2020-10-06","XA.CAN.03.03.3008.01.001",2622
"2020-10-07","XA.CAN.03.03.3008.01.001",0
"2020-10-08","XA.CAN.03.03.3008.01.001",2618
"2020-10-09","XA.CAN.03.03.3008.01.001",2623
"2020-10-10","XA.CAN.03.03.3008.01.001",2620
"2020-10-11","XA.CAN.03.03.3008.01.001",2622
"2020-10-12","XA.CAN.03.03.3008.01.001",2623
"2020-10-13","XA.CAN.03.03.3008.01.001",2623
"2020-10-14","XA.CAN.03.03.3008.01.001",2622
"2020-10-15","XA.CAN.03.03.3008.01.001",2622
"2020-10-16","XA.CAN.03.03.3008.01.001",2621
"2020-10-17","XA.CAN.03.03.3008.01.001",2621
"2020-10-18","XA.CAN.03.03.3008.01.001",2625
"2020-10-19","XA.CAN.03.03.3008.01.001",2617
"2020-10-20","XA.CAN.03.03.3008.01.001",2629
"2020-10-21","XA.CAN.03.03.3008.01.001",2624
"2020-10-22","XA.CAN.03.03.3008.01.001",2627
"2020-10-23","XA.CAN.03.03.3008.01.001",2628
"2020-10-24","XA.CAN.03.03.3008.01.001",2627
"2020-10-25","XA.CAN.03.03.3008.01.001",2628
"2020-10-26","XA.CAN.03.03.3008.01.001",2628
"2020-10-27","XA.CAN.03.03.3008.01.001",2636
"2020-10-28","XA.CAN.03.03.3008.01.001",2630
"2020-10-29","XA.CAN.03.03.3008.01.001",2627
"2020-10-30","XA.CAN.03.03.3008.01.001",2630
"2020-10-31","XA.CAN.03.03.3008.01.001",2633
"2020-11-01","XA.CAN.03.03.3008.01.001",2631
"2020-11-02","XA.CAN.03.03.3008.01.001",2630
"2020-11-03","XA.CAN.03.03.3008.01.001",2625
"2020-11-04","XA.CAN.03.03.3008.01.001",2623
"2020-11-05","XA.CAN.03.03.3008.01.001",2623
"2020-11-06","XA.CAN.03.03.3008.01.001",2626
"2020-11-07","XA.CAN.03.03.3008.01.001",2626
"2020-11-08","XA.CAN.03.03.3008.01.001",2626
"2020-11-09","XA.CAN.03.03.3008.01.001",2626
"2020-11-10","XA.CAN.03.03.3008.01.001",2626
