"Key","Series","Value"
"2020-04-01","XA.WUH.03.04.0404.01.001",0
"2020-04-02","XA.WUH.03.04.0404.01.001",0
"2020-04-03","XA.WUH.03.04.0404.01.001",0
"2020-04-04","XA.WUH.03.04.0404.01.001",0
"2020-04-05","XA.WUH.03.04.0404.01.001",0
"2020-04-06","XA.WUH.03.04.0404.01.001",0
"2020-04-07","XA.WUH.03.04.0404.01.001",0
"2020-04-08","XA.WUH.03.04.0404.01.001",0
"2020-04-09","XA.WUH.03.04.0404.01.001",0
"2020-04-10","XA.WUH.03.04.0404.01.001",0
"2020-04-11","XA.WUH.03.04.0404.01.001",0
"2020-04-12","XA.WUH.03.04.0404.01.001",0
"2020-04-13","XA.WUH.03.04.0404.01.001",0
"2020-04-14","XA.WUH.03.04.0404.01.001",0
"2020-04-15","XA.WUH.03.04.0404.01.001",0
"2020-04-16","XA.WUH.03.04.0404.01.001",0
"2020-04-17","XA.WUH.03.04.0404.01.001",0
"2020-04-18","XA.WUH.03.04.0404.01.001",0
"2020-04-19","XA.WUH.03.04.0404.01.001",0
"2020-04-20","XA.WUH.03.04.0404.01.001",0
"2020-04-21","XA.WUH.03.04.0404.01.001",0
"2020-04-22","XA.WUH.03.04.0404.01.001",0
"2020-04-23","XA.WUH.03.04.0404.01.001",0
"2020-04-24","XA.WUH.03.04.0404.01.001",0
"2020-04-25","XA.WUH.03.04.0404.01.001",0
"2020-04-26","XA.WUH.03.04.0404.01.001",0
"2020-04-27","XA.WUH.03.04.0404.01.001",0
"2020-04-28","XA.WUH.03.04.0404.01.001",0
"2020-04-29","XA.WUH.03.04.0404.01.001",0
"2020-04-30","XA.WUH.03.04.0404.01.001",0
"2020-05-01","XA.WUH.03.04.0404.01.001",0
"2020-05-02","XA.WUH.03.04.0404.01.001",0
"2020-05-03","XA.WUH.03.04.0404.01.001",0
"2020-05-04","XA.WUH.03.04.0404.01.001",0
"2020-05-05","XA.WUH.03.04.0404.01.001",0
"2020-05-06","XA.WUH.03.04.0404.01.001",0
"2020-05-07","XA.WUH.03.04.0404.01.001",0
"2020-05-08","XA.WUH.03.04.0404.01.001",0
"2020-05-09","XA.WUH.03.04.0404.01.001",0
"2020-05-10","XA.WUH.03.04.0404.01.001",0
"2020-05-11","XA.WUH.03.04.0404.01.001",0
"2020-05-12","XA.WUH.03.04.0404.01.001",0
"2020-05-13","XA.WUH.03.04.0404.01.001",0
"2020-05-14","XA.WUH.03.04.0404.01.001",0
"2020-05-15","XA.WUH.03.04.0404.01.001",0
"2020-05-16","XA.WUH.03.04.0404.01.001",0
"2020-05-17","XA.WUH.03.04.0404.01.001",0
"2020-05-18","XA.WUH.03.04.0404.01.001",0
"2020-05-19","XA.WUH.03.04.0404.01.001",0
"2020-05-20","XA.WUH.03.04.0404.01.001",0
"2020-05-21","XA.WUH.03.04.0404.01.001",0
"2020-05-22","XA.WUH.03.04.0404.01.001",0
"2020-05-23","XA.WUH.03.04.0404.01.001",0
"2020-05-24","XA.WUH.03.04.0404.01.001",0
"2020-05-25","XA.WUH.03.04.0404.01.001",0
"2020-05-26","XA.WUH.03.04.0404.01.001",0
"2020-05-27","XA.WUH.03.04.0404.01.001",0
"2020-05-28","XA.WUH.03.04.0404.01.001",0
"2020-05-29","XA.WUH.03.04.0404.01.001",0
"2020-05-30","XA.WUH.03.04.0404.01.001",0
"2020-05-31","XA.WUH.03.04.0404.01.001",0
"2020-06-01","XA.WUH.03.04.0404.01.001",0
"2020-06-02","XA.WUH.03.04.0404.01.001",0
"2020-06-03","XA.WUH.03.04.0404.01.001",0
"2020-06-04","XA.WUH.03.04.0404.01.001",0
"2020-06-05","XA.WUH.03.04.0404.01.001",0
"2020-06-06","XA.WUH.03.04.0404.01.001",0
"2020-06-07","XA.WUH.03.04.0404.01.001",0
"2020-06-08","XA.WUH.03.04.0404.01.001",0
"2020-06-09","XA.WUH.03.04.0404.01.001",0
"2020-06-10","XA.WUH.03.04.0404.01.001",0
"2020-06-11","XA.WUH.03.04.0404.01.001",0
"2020-06-12","XA.WUH.03.04.0404.01.001",0
"2020-06-13","XA.WUH.03.04.0404.01.001",0
"2020-06-14","XA.WUH.03.04.0404.01.001",0
"2020-06-15","XA.WUH.03.04.0404.01.001",0
"2020-06-16","XA.WUH.03.04.0404.01.001",0
"2020-06-17","XA.WUH.03.04.0404.01.001",0
"2020-06-18","XA.WUH.03.04.0404.01.001",0
"2020-06-19","XA.WUH.03.04.0404.01.001",0
"2020-06-20","XA.WUH.03.04.0404.01.001",0
"2020-06-21","XA.WUH.03.04.0404.01.001",0
"2020-06-22","XA.WUH.03.04.0404.01.001",0
"2020-06-23","XA.WUH.03.04.0404.01.001",0
"2020-06-24","XA.WUH.03.04.0404.01.001",0
"2020-06-25","XA.WUH.03.04.0404.01.001",0
"2020-06-26","XA.WUH.03.04.0404.01.001",0
"2020-06-27","XA.WUH.03.04.0404.01.001",0
"2020-06-28","XA.WUH.03.04.0404.01.001",0
"2020-06-29","XA.WUH.03.04.0404.01.001",0
"2020-06-30","XA.WUH.03.04.0404.01.001",0
"2020-07-01","XA.WUH.03.04.0404.01.001",0
"2020-07-02","XA.WUH.03.04.0404.01.001",0
"2020-07-03","XA.WUH.03.04.0404.01.001",0
"2020-07-04","XA.WUH.03.04.0404.01.001",0
"2020-07-05","XA.WUH.03.04.0404.01.001",0
"2020-07-06","XA.WUH.03.04.0404.01.001",0
"2020-07-07","XA.WUH.03.04.0404.01.001",0
"2020-07-08","XA.WUH.03.04.0404.01.001",0
"2020-07-09","XA.WUH.03.04.0404.01.001",0
"2020-07-10","XA.WUH.03.04.0404.01.001",0
"2020-07-11","XA.WUH.03.04.0404.01.001",0
"2020-07-12","XA.WUH.03.04.0404.01.001",0
"2020-07-13","XA.WUH.03.04.0404.01.001",0
"2020-07-14","XA.WUH.03.04.0404.01.001",0
"2020-07-15","XA.WUH.03.04.0404.01.001",0
"2020-07-16","XA.WUH.03.04.0404.01.001",0
"2020-07-17","XA.WUH.03.04.0404.01.001",0
"2020-07-18","XA.WUH.03.04.0404.01.001",0
"2020-07-19","XA.WUH.03.04.0404.01.001",0
"2020-07-20","XA.WUH.03.04.0404.01.001",0
"2020-07-21","XA.WUH.03.04.0404.01.001",0
"2020-07-22","XA.WUH.03.04.0404.01.001",0
